id,created_at,organization_id,organizationpillar_id,status,period,points,grade,activityDate,hoursSpent,submissionReleaseDate,completedDate,description,title,user_id,document_id,relatedFiles,verificationFiles,academicprogram_id,approvedPoints,feedback_id,datePerformed,activitySubmitted,activityApproved
761,1732989584475,173133d1-513b-49df-b6b8-729e187725cf,383a48ed-f185-4791-a5fd-67b8e849d2e4,Accepted,1,0.4,0,"[""2024-11-26""]",2,,,Suzanne,"Boundaries 2",db57d37d-4092-4a19-a808-e03779c5a0ad,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/nl62PV2vrqwJjBeMVVFn1plx8Og\/Ogm0rg..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""validated"":false},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/nl62PV2vrqwJjBeMVVFn1plx8Og\/Ogm0rg..\/1785878.pdf""}]",,128,0.4,[[]],2024-11-26,,
762,1733273048093,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,cafe5850-3e06-41ef-a3b6-e1a82c4eb17a,Accepted,2,0.13,0,"[""2024-11-27"",null]",2,,,"Jump rope, ball exercises, practice punches and dodges",Boxing,79f7938a-f5d9-40ac-b2cd-12066453bbd8,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/78acO3hyiRry3kDcN3J8ihG0tBc\/_MZQsg..\/Resized_20241127_182335_1732763639599.jpeg"",""name"":""Resized_20241127_182335_1732763639599.jpeg"",""type"":""image"",""size"":999200,""mime"":""image\/jpeg"",""meta"":{""width"":1182,""height"":2560},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/78acO3hyiRry3kDcN3J8ihG0tBc\/_MZQsg..\/Resized_20241127_182335_1732763639599.jpeg""}]","[{""access"":""public"",""path"":""\/vault\/AL2geKri\/gCu8NL3oJFR0Z4VGBtQN4q0NVIU\/7qscMw..\/Resized_20241127_182335_1732763639599.jpeg"",""name"":""Resized_20241127_182335_1732763639599.jpeg"",""type"":""image"",""size"":1080695,""mime"":""image\/jpeg"",""meta"":{""width"":1182,""height"":2560},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/gCu8NL3oJFR0Z4VGBtQN4q0NVIU\/7qscMw..\/Resized_20241127_182335_1732763639599.jpeg""}]",127,0.13,[[]],2024-11-27,,
763,1733273229945,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,cafe5850-3e06-41ef-a3b6-e1a82c4eb17a,Accepted,2,0.13,0,"[""2024-12-02"",null]",2,,,"Jogged, sparred, jump rope, practiced dodging and practiced punches, did lunges",Boxing,79f7938a-f5d9-40ac-b2cd-12066453bbd8,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/hPmOsiHOovyCtyIYwW8br9fxHcA\/lc3XCg..\/Resized_20241202_183421_1733195363197.jpeg"",""name"":""Resized_20241202_183421_1733195363197.jpeg"",""type"":""image"",""size"":894864,""mime"":""image\/jpeg"",""meta"":{""width"":1182,""height"":2560},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/hPmOsiHOovyCtyIYwW8br9fxHcA\/lc3XCg..\/Resized_20241202_183421_1733195363197.jpeg""}]","[{""access"":""public"",""path"":""\/vault\/AL2geKri\/OFT9LWBaf-rwCGQHcQ3wONwQIBc\/mklzeQ..\/Resized_20241202_183421_1733195363197.jpeg"",""name"":""Resized_20241202_183421_1733195363197.jpeg"",""type"":""image"",""size"":951747,""mime"":""image\/jpeg"",""meta"":{""width"":1182,""height"":2560},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/OFT9LWBaf-rwCGQHcQ3wONwQIBc\/mklzeQ..\/Resized_20241202_183421_1733195363197.jpeg""}]",127,0.13,[[]],2024-12-02,,
764,1733275573974,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,cafe5850-3e06-41ef-a3b6-e1a82c4eb17a,Accepted,2,0.06,0,"[""2024-11-07"",null]",1,,,"Worked out chest, triceps and shoulders, bench press","Working out",79f7938a-f5d9-40ac-b2cd-12066453bbd8,0,,,127,0.06,[[]],2024-11-07,,
765,1733275707576,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,cafe5850-3e06-41ef-a3b6-e1a82c4eb17a,Accepted,2,0.06,0,"[""2024-11-18"",null]",1,,,"Worked out upper body, 100 pull ups and 100 dips","Worked out",79f7938a-f5d9-40ac-b2cd-12066453bbd8,0,,,127,0.06,[[]],2024-11-18,,
766,1733276097482,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,cafe5850-3e06-41ef-a3b6-e1a82c4eb17a,Accepted,2,0.06,0,"[""2024-11-16"",null]",1,,,"Full body, 100 dips, 100 pull ups, leg press and calf raises","Working out",79f7938a-f5d9-40ac-b2cd-12066453bbd8,0,,,127,0.06,[[]],2024-11-16,,
767,1733276265515,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,cafe5850-3e06-41ef-a3b6-e1a82c4eb17a,Accepted,2,0.13,0,"[""2024-11-30"",null]",2,,,"I washed his truck and car","Washing grandpa's cars",79f7938a-f5d9-40ac-b2cd-12066453bbd8,0,,,127,0.13,[[]],2024-11-30,,
768,1733276398453,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,cafe5850-3e06-41ef-a3b6-e1a82c4eb17a,Accepted,2,0.13,0,"[""2024-12-01"",null]",2,,,"I washed her car with a bucket of soap and water, a hose, and cleaned the inside too","Washed my aunts car and cleaned the inside",79f7938a-f5d9-40ac-b2cd-12066453bbd8,0,,,127,0.13,[[]],2024-12-01,,
769,1733276637368,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,de8dfe8e-da73-4c85-91a1-8dee7e304ab1,Accepted,2,0.13,0,"[""2024-11-13"",null]",2,,,"We had Kirschen teach us yoga poses",Yoga,79f7938a-f5d9-40ac-b2cd-12066453bbd8,0,,,127,0.13,[[]],2024-11-13,,
770,1733276811496,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,de8dfe8e-da73-4c85-91a1-8dee7e304ab1,Accepted,2,0.13,0,"[""2024-11-18"",null]",2,,,"We did exercises with Pedro like push ups, punches, jogging and crawling backwards","Work out day",79f7938a-f5d9-40ac-b2cd-12066453bbd8,0,,,127,0.13,[[]],2024-11-18,,
